name;name_en;category;website;address;city;geometry;info;info_en;email;phone
Tromsø Skomakerverksted;Tromsø Skomakerverksted (shoemaker);tools;http://tromsoskomakerverksted.no/;Strandgata 34;9008 Tromsø;18.95600, 69.64804;Vårt dyktige team av skomakere har lang erfaring innen skoreparasjon. Vi kan fikse alt fra såler og hæler til sømmer og glidelåser, slik at du kan bruke favorittskoene dine lenger.;;;
Tromsøskapere - MAKERSPACE;Tromsøskapere - MAKERSPACE;tools;https://www.tromsoskapere.no/skogstua;Skogstua i Lærerskolevegen 8;9006 Tromsø;18.92432, 69.63568;Skogstua fellesverksted er et sted for gjester og medlemmer som ønsker å holde på med skapende aktiviteter, det være seg håndverk, kreative eller teknologiske uttrykk. Medlemmer som ønsker å ha tilgang til lokalene 24/7 kan få dette ved å kjøpe tilgang på medlemssiden hos smartorg.no. Ikke medlem? Meld deg inn her.Skogstua skal også brukes til kurs, aktiviteter, prosjekter og samarbeid med andre miljø. Velkommen til vårt nye fellesverksted!;;;
TURBO (utlån av sports-/turutstyr);TURBO (loan of sports and outdoor equipment);sports;https://www.facebook.com/TromsoTurutstyr;Grønnegata 94;9008 Tromsø;18.95490813, 69.65105179;;;;
TURBO (utlån av sykler/ski);TURBO (bike and ski loan);bike;https://www.facebook.com/TromsoTurutstyr;Grønnegata 94;9008 Tromsø;18.95476331, 69.65093643;;;;
UFF Second Hand Tromsø;UFF Second Hand Tromsø;clothes;http://uffnorge.org/;Storgata 41;9008 Tromsø;18.95335,69.64714;;;;
Øivind Holmboe Guitarworks;Øivind Holmboe Guitarworks;tools;http://www.guitarworks.no/;M Urdals veg 6;9011 Tromsø;18.94568,69.65826;;;;
DYRK Tromsø;DYRK Tromsø;food;https://www.facebook.com/dyrktromso;Dramsveien 16;9009 Tromsø;18.9570796775, 69.65467531;;;;
Fru Berg (Plantesalg, kurs, grønnsakssalg om høsten);Fru Berg (garden and plants);food;https://www.instagram.com/frubergfratromso/;Bergholmvegen 5;9021 Tromsdalen;18.9472367064, 69.56700840;Lokal Plantesalg, grønnsaker, potet, bærekraftig kaffe (annonseres åpningstiden via FB/instagram, men stort sett åpent i helgene + helligdager). Gårdsutssalg, selvplukk/selvbetjent, økologisk, av og til kafé;;;
Nygård Hagebruk (Planter, frø, busker, hageutstyr, grønnsakssalg om høsten);Nygård Hagebruk (garden and plant);food;http://www.hagebruk.no/;Salarøyvegen 703;9103 Kvaløysletta;18.99374697, 69.733901;;;;
Eilertsens Gartneri (Planter, frø, busker, hageutstyr, grønnsakssalg om høsten);Eilertsens Gartneri (garden and plant);food;;Salarøyvegen 753;9100 Kvaløysletta;18.9997122, 69.73595;;;;
Tråkk 9000 (sykkel service/reparasjon);Tråkk 9000 (bike service and repair);tools;;Strandvegen 73;9007 Tromsø;18.93612421, 69.639295;Bicycle service and repair;;;
XXL Tromsø (sykkel service/reparasjon);XXL Tromsø (bike service and repair);tools;;Karlsøyvegen 1;9015 Tromsø;18.92251812, 69.6724257;Bicycle and ski service and repair;;;
Tromsø skatepark;Tromsø skatepark;bike;;Skansegata/Fr Nansens Plass;9008 Tromsø;18.9663515, 69.6544613;Usikkert om skateparken passer her, og jehg fant en artikkel at det usikkert om det kan bli (dessverre) https://www.nordnorskdebatt.no/skateparken-fra-drom-til-virkelighet-og-tilbake-igjen/o/5-124-305872;;;
Systue MPN Design;Systue MPN Design (sewing);tools;https://mpndesignsystue.com/;Storgata 57;9008 Tromsø;18.95483373, 69.6482243;Reparasjon og tilpassing av klær;;;
Stofflykke;Stofflykke (sewing and fabric store);tools;;Kvaløyvegen 329;9016 Tromsø;18.92019556, 69.668686900;Stort utvalg av stoffer, symaskiner, utstyr og kurs;;;
Symaskin og søm Tromsø (Salg/Service/Reperasjoner/Opplæring /Kurs);Symaskin og søm Tromsø (sale, service, and repair of sewing machines as well as instruction sewing courses);tools;https://www.facebook.com/symaskinogsom/?locale=nb_NO;Solstrandvegen 25;9020 Tromsø;18.97621035, 69.64211973;Stoffer, symaskiner, utstyr og kurs;;;
Plantesalg på botanisk hage;Plant sale at the botanical garden;sports;https://www.facebook.com/events/592843323410728;Universitet i Tromsø Post Box 6050 Langnes;9037 Tromsø;18.976621113, 69.67681121;Salg av nyttevekster;;;
Grønt antikvariat (brukthandel med brukte bøker);Grønt antikvariat (2nd hand bookstore);clothes;mailto:avvik2007@gmail.com;Storgata 118. Open torsdagar 14-17, lørdagar 12- 15.;9008 Tromsø;18.95930811,69.653084548;Flott bruktbokbutikk - god litteratur. Tar imot og selger.;;;
Soppkontroll søndager 15:00 - 17:00;Mushroom check (sundays 15:00-17-00;food;https://tromso.soppognyttevekster.no/kalender/;Tromsø Museum – Universitetsmuseet, Lars Thørings veg 10. Søndager 15:00-17:00 i soppsesong (høst);9006 Tromsø;18.91360745, 69.63502020;Kom til Tromsø Museum og få sjekket kurven din helt gratis. Sertifiserte soppkontrollører går gjennom soppfangsten din, og passer på at du bare har spiselige sopper med deg hjem. Vi har også en liten utstilling av sopp som er å finne akkurat nå i Tromsø-området, både til inspirasjon og læring. Du kan også få kjøpt en soppbok som passer til ditt nivå, fra nybegynner til ganske avansert.  Soppkontrollen er gratis og tilgjengelig for alle. OPPMØTEDETALJER Vi er på Tromsø Museum. Vi står enten utenfor museet eller i museumssalen, litt avhengig av været.;;;
Håndtarbeid, skrable og kaffetid - åpent for alle (SevenDesign Atelier);Handcraft, chatting and coffee time - open for all;sports;https://www.facebook.com/events/1046243856848668/1046688996804154/;SevenDesign Atelier, tirsdager kl 11-17;9008 Tromsø;18.9557214, 69.6481122;fellesskap, rundt håndverk. gratis og åpent for alle. Flere har savnet å ha et fast sted å gå til en dag i uka for å drive med håndarbeidet sitt sammen med andre, både kjente og ukjente, og for å drikke kaffe og skravle og ja, bare ha det trivelig og sosialt. De har da foreslått her i 2. etg., i Kunstkroken Kafé, der lokale kunstnere også har ny utstilling hver mnd. Jeg foreslår nå hver tirsdag her, oppe i Kunstkroken Kafé, kl. 11-17. Det er kaffe og vafler her og dere vil få et bra tilbud hos meg. Dere kan også bestille annen mat, (men det må bestilles et par dager på forhånd), men ikke noe krav å kjøpe mat/drikke her. For å være her betaler dere ingenting. Velkommen innom, og håper på et bra oppmøte! __ ;;;
Interrail!;Interrail!;bike;https://www.interrail.eu/en;Verden står for dine føtter (og skinner!);Europa!;18.95887556155, 69.6465222595;Overnatting i seng, gynges i søvn, morgenkaffe i kupéen. Tid, fred og ro, hyggelige medmennsker, og bærekraftig valg.;;;
Entur.org (buss & tog sørover i Norge);entur.org (bus & trains southwards in Norway);bike;http://entur.org;Web;Norge;18.9613137843, 69.6470727404;Til Oslo: Buss 100 til Fauske. Dag-/nattog til Trondheim. Natt-/dagtog til Oslo.;;;
Reise langs land til Finland;Traveling by land to Finland;bike;;Ta den dyre turistbussen (BestArctic/The Arctic Route) til Killpisjärvi, evt. helt til Levi store deler av året, videre med billigere busser: Onnibus og Matkahuolto. (Natt-)Tog videre fra Kolari.;;18.9751406, 69.64415493;Ta den dyre turistbussen (BestArctic/The Arctic Route) til Killpisjärvi, evt. helt til Levi store deler av året, videre med billigere busser: Onnibus og Matkahuolto. (Natt-)Tog videre fra Kolari.;;;
Tromsø Meditasjon og Yoga (vegetarmat-kurs, felleskap);Tromsø Meditation and yoga (vegetarian courses, community);food;https://www.tromsomeditasjon.no;Storgata 132A;9008 Tromsø;18.960600120, 69.65419634473;;;;
Lørdag kl 2 (møteplass for kvinner;Lørdag kl 2(meeting community for women);sports;https://www.facebook.com/groups/lordagkl2;Sjøgata 1;9008 Tromsø;18.959549656336893, 69.64825557302703;;;;
Kvaløysletta Husflidslag (kurs, håndverk, treff);Kvaløysletta Husflidslag (handcraft activities);tools;https://www.facebook.com/kvaloyslettahusflidslag;Slettavegen 16;9101 Kvaløysletta;18.88126491496, 69.6960753689;;;;
Rødtindheimen Bruktmarked (ca. månedlig);Rødtindheimen Bruktmarked (2nd Hand, monthly);clothes;https://www.facebook.com/profile.php?id=100094777765426;Salarøyvegen 55;9102 Kvaløysletta;18.8927251386, 69.69930580631;;;;
Klauv og rake (småbruk, regenerativt landbruk, grønnsaker);Klauv og rake (small-scale regenerative vegetable farmer);food;https://www.facebook.com/KlauvogRake;Skulsfjordvegen 277;9103 Skulsfjord;18.77562952206, 69.8032800214;;;;
Widding Gård (småbruk, utsalg fra bod ved veien og gårdsbutikk);Widding Gård (small-scale farmer, sells produce from the road/store);food;https://www.facebook.com/widdinggard;Innlandsvegen 109;9021 Tromsdalen;18.944983195835, 69.57212569543;;;;
Bikeriet (sykkelreparasjon);Bikeriet (bike service and repair);tools;https://www.bikeriet.no;Karlsøyvegen 10;9015 Tromsø;18.920959453456, 69.67450712978;Bicycle service and repair;;;
Ship O´Hoi (delingsøkonomi på sjøen, utleie båter, kajakker, vannscootere, båthengere og båtplasser);Ship O´Hoi (sharing economy on the sea, rent boats, kayaks, boat hangers etc.);sports;https://www.ship-ohoi.com;App;Norge;19.02470096150, 69.6842156429;;;;
Møbel Johansen (omtrekking møbler);Møbel Johansen (reupholstering of furniture);tools;https://www.facebook.com/share/17nSaShst9/;Fagernesvegen 160;9027 Ramfjordbotn;19.196529651965, 69.54816358677;Bedriften i Ramfjord bedriver med omtrekking av møbler.;;;
Litt Grønnere (salg oppsirkulerte varer av gjenbruksstoff);Litt Grønnere (upcycled products from 2nd fabric);clothes;https://www.littgronnere.com;Strandgata 34;9008 Tromsø;18.95566221765051, 69.64816880459404;Litt Grønnere selger egenproduserte gjenbruksprodukter sydd av gjenbruksstoff;;;
21. FEB: Futures Festival Tromsø;21st FEB: Futures Festival Tromsø;events;https://www.folkehub.no/futures-festival;Tromsø Bibliotek, Grrønnegata 94;9008 Tromsø;18.954472408309115, 69.6504898275534;;;;
